,ALL_EXT_PATH
0,"['s41401', '021', '00772', '8']"
1,"['s41401', '021', '00772', '8']"
2,"['s41401', '021', '00778', '2']"
3,"['s41401', '021', '00778', '2']"
4,"['s41401', '021', '00778', '2']"
5,"['s41401', '021', '00778', '2']"
6,"['s41401', '021', '00778', '2']"
7,"['s41401', '021', '00778', '2']"
8,"['s41401', '021', '00745', 'x']"
9,"['s41401', '021', '00745', 'x']"
10,"['s41401', '021', '00770', 'w']"
11,"['s41401', '021', '00770', 'w']"
12,"['s41401', '021', '00776', '4']"
13,"['s41401', '021', '00776', '4']"
14,"['s41401', '021', '00776', '4']"
15,"['s41401', '021', '00776', '4']"
16,"['s41401', '021', '00776', '4']"
17,"['s41401', '021', '00776', '4']"
18,"['s41401', '021', '00774', '6']"
19,"['s41401', '021', '00774', '6']"
20,"['s41401', '021', '00774', '6']"
21,"['s41401', '021', '00774', '6']"
22,"['s41401', '021', '00774', '6']"
23,"['s41401', '021', '00774', '6']"
24,"['s41401', '021', '00766', '6']"
25,"['s41401', '021', '00766', '6']"
26,"['s41401', '021', '00766', '6']"
27,"['s41401', '021', '00766', '6']"
28,"['s41401', '021', '00766', '6']"
29,"['s41401', '021', '00766', '6']"
30,"['s41401', '021', '00773', '7']"
31,"['s41401', '021', '00773', '7']"
32,"['s41401', '021', '00769', '3']"
33,"['s41401', '021', '00769', '3']"
34,"['s41401', '021', '00768', '4']"
35,"['s41401', '021', '00768', '4']"
36,"['s41401', '021', '00768', '4']"
37,"['s41401', '021', '00768', '4']"
38,"['s41401', '021', '00768', '4']"
39,"['s41401', '021', '00768', '4']"
40,"['s41401', '021', '00777', '3']"
41,"['s41401', '021', '00777', '3']"
42,"['s41401', '021', '00755', '9']"
43,"['s41401', '021', '00755', '9']"
44,"['s41401', '021', '00755', '9']"
45,"['s41401', '021', '00755', '9']"
46,"['s41401', '021', '00755', '9']"
47,"['s41401', '021', '00755', '9']"
48,"['s41401', '021', '00760', 'y']"
49,"['s41401', '021', '00760', 'y']"
50,"['s41401', '021', '00760', 'y']"
51,"['s41401', '021', '00760', 'y']"
52,"['s41401', '021', '00760', 'y']"
53,"['s41401', '021', '00760', 'y']"
54,"['s41401', '021', '00763', '9']"
55,"['s41401', '021', '00763', '9']"
56,"['s41401', '021', '00763', '9']"
57,"['s41401', '021', '00763', '9']"
58,"['s41401', '021', '00763', '9']"
59,"['s41401', '021', '00763', '9']"
60,"['s41401', '021', '00765', '7']"
61,"['s41401', '021', '00765', '7']"
62,"['s41401', '021', '00765', '7']"
63,"['s41401', '021', '00765', '7']"
64,"['s41401', '021', '00765', '7']"
65,"['s41401', '021', '00765', '7']"
66,"['s41401', '021', '00731', '3']"
67,"['s41401', '021', '00731', '3']"
68,"['s41401', '021', '00771', '9']"
69,"['s41401', '021', '00771', '9']"
70,"['s41401', '021', '00730', '4']"
71,"['s41401', '021', '00730', '4']"
72,"['s41401', '021', '00767', '5']"
73,"['s41401', '021', '00767', '5']"
74,"['s41401', '021', '00767', '5']"
75,"['s41401', '021', '00767', '5']"
76,"['s41401', '021', '00767', '5']"
77,"['s41401', '021', '00767', '5']"
