,SHORT_NAME_ALL,SERIAL,ALL_EXT_PATH,ALL_LINK
0,Acta Pharmacologica Sinica,s41401,"['s41401', '021', '00772', '8']",https://www.nature.com/articles/s41401-021-00772-8
1,Acta Pharmacologica Sinica,s41401,"['s41401', '021', '00772', '8']",https://www.nature.com/articles/s41401-021-00778-2
2,Acta Pharmacologica Sinica,s41401,"['s41401', '021', '00778', '2']",https://www.nature.com/articles/s41401-021-00745-x
3,Acta Pharmacologica Sinica,s41401,"['s41401', '021', '00778', '2']",https://www.nature.com/articles/s41401-021-00770-w
4,Acta Pharmacologica Sinica,s41401,"['s41401', '021', '00778', '2']",https://www.nature.com/articles/s41401-021-00776-4
5,Acta Pharmacologica Sinica,s41401,"['s41401', '021', '00778', '2']",https://www.nature.com/articles/s41401-021-00774-6
6,Acta Pharmacologica Sinica,s41401,"['s41401', '021', '00778', '2']",https://www.nature.com/articles/s41401-021-00766-6
7,Acta Pharmacologica Sinica,s41401,"['s41401', '021', '00778', '2']",https://www.nature.com/articles/s41401-021-00773-7
8,Acta Pharmacologica Sinica,s41401,"['s41401', '021', '00745', 'x']",https://www.nature.com/articles/s41401-021-00769-3
9,Acta Pharmacologica Sinica,s41401,"['s41401', '021', '00745', 'x']",https://www.nature.com/articles/s41401-021-00768-4
10,Acta Pharmacologica Sinica,s41401,"['s41401', '021', '00770', 'w']",https://www.nature.com/articles/s41401-021-00777-3
11,Acta Pharmacologica Sinica,s41401,"['s41401', '021', '00770', 'w']",https://www.nature.com/articles/s41401-021-00755-9
12,Acta Pharmacologica Sinica,s41401,"['s41401', '021', '00776', '4']",https://www.nature.com/articles/s41401-021-00760-y
13,Acta Pharmacologica Sinica,s41401,"['s41401', '021', '00776', '4']",https://www.nature.com/articles/s41401-021-00763-9
14,Acta Pharmacologica Sinica,s41401,"['s41401', '021', '00776', '4']",https://www.nature.com/articles/s41401-021-00765-7
15,Acta Pharmacologica Sinica,s41401,"['s41401', '021', '00776', '4']",https://www.nature.com/articles/s41401-021-00731-3
16,Acta Pharmacologica Sinica,s41401,"['s41401', '021', '00776', '4']",https://www.nature.com/articles/s41401-021-00771-9
17,Acta Pharmacologica Sinica,s41401,"['s41401', '021', '00776', '4']",https://www.nature.com/articles/s41401-021-00730-4
18,Acta Pharmacologica Sinica,s41401,"['s41401', '021', '00774', '6']",https://www.nature.com/articles/s41401-021-00767-5
19,Acta Pharmacologica Sinica,s41401,"['s41401', '021', '00774', '6']",https://www.nature.com/articles/s41401-021-00761-x
20,Acta Pharmacologica Sinica,s41401,"['s41401', '021', '00774', '6']",https://www.nature.com/articles/s41404-021-0931-0
21,Acta Pharmacologica Sinica,s41401,"['s41401', '021', '00774', '6']",https://www.nature.com/articles/s41404-021-0922-1
22,Acta Pharmacologica Sinica,s41401,"['s41401', '021', '00774', '6']",https://www.nature.com/articles/s41404-021-0928-8
23,Acta Pharmacologica Sinica,s41401,"['s41401', '021', '00774', '6']",https://www.nature.com/articles/s41404-021-0925-y
24,Acta Pharmacologica Sinica,s41401,"['s41401', '021', '00766', '6']",https://www.nature.com/articles/s41404-021-0929-7
25,Acta Pharmacologica Sinica,s41401,"['s41401', '021', '00766', '6']",https://www.nature.com/articles/s41404-021-0930-1
26,Acta Pharmacologica Sinica,s41401,"['s41401', '021', '00766', '6']",https://www.nature.com/articles/s41404-021-0926-x
27,Acta Pharmacologica Sinica,s41401,"['s41401', '021', '00766', '6']",https://www.nature.com/articles/s41404-021-0917-y
28,Acta Pharmacologica Sinica,s41401,"['s41401', '021', '00766', '6']",https://www.nature.com/articles/s41404-021-0924-z
29,Acta Pharmacologica Sinica,s41401,"['s41401', '021', '00766', '6']",https://www.nature.com/articles/s41404-021-0910-5
30,Acta Pharmacologica Sinica,s41401,"['s41401', '021', '00773', '7']",https://www.nature.com/articles/s41404-021-0913-2
31,Acta Pharmacologica Sinica,s41401,"['s41401', '021', '00773', '7']",https://www.nature.com/articles/s41404-021-0919-9
32,Acta Pharmacologica Sinica,s41401,"['s41401', '021', '00769', '3']",https://www.nature.com/articles/s41404-021-0918-x
33,Acta Pharmacologica Sinica,s41401,"['s41401', '021', '00769', '3']",https://www.nature.com/articles/s41404-021-0920-3
34,Acta Pharmacologica Sinica,s41401,"['s41401', '021', '00768', '4']",https://www.nature.com/articles/s41404-021-0923-0
35,Acta Pharmacologica Sinica,s41401,"['s41401', '021', '00768', '4']",https://www.nature.com/articles/s41404-021-0914-1
36,Acta Pharmacologica Sinica,s41401,"['s41401', '021', '00768', '4']",https://www.nature.com/articles/s41404-021-0921-2
37,Acta Pharmacologica Sinica,s41401,"['s41401', '021', '00768', '4']",https://www.nature.com/articles/s41404-021-0927-9
38,Acta Pharmacologica Sinica,s41401,"['s41401', '021', '00768', '4']",https://www.nature.com/articles/s41404-021-0905-2
39,Acta Pharmacologica Sinica,s41401,"['s41401', '021', '00768', '4']",https://www.nature.com/articles/s41404-021-0912-3
40,Acta Pharmacologica Sinica,s41401,"['s41401', '021', '00777', '3']",https://www.nature.com/articles/s41405-021-00090-5
41,Acta Pharmacologica Sinica,s41401,"['s41401', '021', '00777', '3']",https://www.nature.com/articles/s41405-021-00088-z
42,Acta Pharmacologica Sinica,s41401,"['s41401', '021', '00755', '9']",https://www.nature.com/articles/s41405-021-00089-y
43,Acta Pharmacologica Sinica,s41401,"['s41401', '021', '00755', '9']",https://www.nature.com/articles/s41405-021-00087-0
44,Acta Pharmacologica Sinica,s41401,"['s41401', '021', '00755', '9']",https://www.nature.com/articles/s41405-021-00086-1
45,Acta Pharmacologica Sinica,s41401,"['s41401', '021', '00755', '9']",https://www.nature.com/articles/s41405-021-00083-4
46,Acta Pharmacologica Sinica,s41401,"['s41401', '021', '00755', '9']",https://www.nature.com/articles/s41405-021-00085-2
47,Acta Pharmacologica Sinica,s41401,"['s41401', '021', '00755', '9']",https://www.nature.com/articles/s41405-021-00084-3
48,Acta Pharmacologica Sinica,s41401,"['s41401', '021', '00760', 'y']",https://www.nature.com/articles/s41405-021-00082-5
49,Acta Pharmacologica Sinica,s41401,"['s41401', '021', '00760', 'y']",https://www.nature.com/articles/s41405-021-00076-3
50,Acta Pharmacologica Sinica,s41401,"['s41401', '021', '00760', 'y']",https://www.nature.com/articles/s41405-021-00081-6
51,Acta Pharmacologica Sinica,s41401,"['s41401', '021', '00760', 'y']",https://www.nature.com/articles/s41405-021-00079-0
52,Acta Pharmacologica Sinica,s41401,"['s41401', '021', '00760', 'y']",https://www.nature.com/articles/s41405-021-00080-7
53,Acta Pharmacologica Sinica,s41401,"['s41401', '021', '00760', 'y']",https://www.nature.com/articles/s41405-021-00077-2
54,Acta Pharmacologica Sinica,s41401,"['s41401', '021', '00763', '9']",https://www.nature.com/articles/s41405-021-00078-1
55,Acta Pharmacologica Sinica,s41401,"['s41401', '021', '00763', '9']",https://www.nature.com/articles/s41405-021-00075-4
56,Acta Pharmacologica Sinica,s41401,"['s41401', '021', '00763', '9']",https://www.nature.com/articles/s41405-021-00074-5
57,Acta Pharmacologica Sinica,s41401,"['s41401', '021', '00763', '9']",https://www.nature.com/articles/s41405-021-00073-6
58,Acta Pharmacologica Sinica,s41401,"['s41401', '021', '00763', '9']",https://www.nature.com/articles/s41405-021-00072-7
59,Acta Pharmacologica Sinica,s41401,"['s41401', '021', '00763', '9']",https://www.nature.com/articles/s41405-021-00071-8
60,Acta Pharmacologica Sinica,s41401,"['s41401', '021', '00765', '7']",https://www.nature.com/articles/s41406-021-0253-z
61,Acta Pharmacologica Sinica,s41401,"['s41401', '021', '00765', '7']",https://www.nature.com/articles/s41406-021-0232-4
62,Acta Pharmacologica Sinica,s41401,"['s41401', '021', '00765', '7']",https://www.nature.com/articles/s41406-021-0251-1
63,Acta Pharmacologica Sinica,s41401,"['s41401', '021', '00765', '7']",https://www.nature.com/articles/s41406-021-0257-8
64,Acta Pharmacologica Sinica,s41401,"['s41401', '021', '00765', '7']",https://www.nature.com/articles/s41406-021-0228-0
65,Acta Pharmacologica Sinica,s41401,"['s41401', '021', '00765', '7']",https://www.nature.com/articles/s41406-021-0248-9
66,Acta Pharmacologica Sinica,s41401,"['s41401', '021', '00731', '3']",https://www.nature.com/articles/s41406-021-0247-x
67,Acta Pharmacologica Sinica,s41401,"['s41401', '021', '00731', '3']",https://www.nature.com/articles/s41406-021-0254-y
68,Acta Pharmacologica Sinica,s41401,"['s41401', '021', '00771', '9']",https://www.nature.com/articles/s41406-021-0261-z
69,Acta Pharmacologica Sinica,s41401,"['s41401', '021', '00771', '9']",https://www.nature.com/articles/s41406-021-0252-0
70,Acta Pharmacologica Sinica,s41401,"['s41401', '021', '00730', '4']",https://www.nature.com/articles/s41406-021-0258-7
71,Acta Pharmacologica Sinica,s41401,"['s41401', '021', '00730', '4']",https://www.nature.com/articles/s41406-021-0249-8
72,Acta Pharmacologica Sinica,s41401,"['s41401', '021', '00767', '5']",https://www.nature.com/articles/s41406-021-0250-2
73,Acta Pharmacologica Sinica,s41401,"['s41401', '021', '00767', '5']",https://www.nature.com/articles/s41406-021-0256-9
74,Acta Pharmacologica Sinica,s41401,"['s41401', '021', '00767', '5']",https://www.nature.com/articles/s41406-021-0262-y
75,Acta Pharmacologica Sinica,s41401,"['s41401', '021', '00767', '5']",https://www.nature.com/articles/s41406-021-0259-6
76,Acta Pharmacologica Sinica,s41401,"['s41401', '021', '00767', '5']",https://www.nature.com/articles/s41406-021-0260-0
77,Acta Pharmacologica Sinica,s41401,"['s41401', '021', '00767', '5']",https://www.nature.com/articles/s41406-021-0246-y
78,Acta Pharmacologica Sinica,s41401,"['s41401', '021', '00761', 'x']",https://www.nature.com/articles/s41406-021-0225-3
79,Acta Pharmacologica Sinica,s41401,"['s41401', '021', '00761', 'x']",https://www.nature.com/articles/s41406-021-0244-0
80,Acta Pharmacologica Sinica,s41401,"['s41401', '021', '00761', 'x']",https://www.nature.com/articles/s41407-021-0732-7
81,Acta Pharmacologica Sinica,s41401,"['s41401', '021', '00761', 'x']",https://www.nature.com/articles/s41407-021-0735-4
82,Acta Pharmacologica Sinica,s41401,"['s41401', '021', '00761', 'x']",https://www.nature.com/articles/s41407-021-0733-6
83,Acta Pharmacologica Sinica,s41401,"['s41401', '021', '00761', 'x']",https://www.nature.com/articles/s41407-021-0731-8
84,BDJ In Practice,s41404,"['s41404', '021', '0931', '0']",https://www.nature.com/articles/s41407-021-0734-5
85,BDJ In Practice,s41404,"['s41404', '021', '0931', '0']",https://www.nature.com/articles/s41407-021-0722-9
86,BDJ In Practice,s41404,"['s41404', '021', '0922', '1']",https://www.nature.com/articles/s41407-021-0725-6
87,BDJ In Practice,s41404,"['s41404', '021', '0922', '1']",https://www.nature.com/articles/s41407-021-0728-3
88,BDJ In Practice,s41404,"['s41404', '021', '0928', '8']",https://www.nature.com/articles/s41407-021-0723-8
89,BDJ In Practice,s41404,"['s41404', '021', '0928', '8']",https://www.nature.com/articles/s41407-021-0719-4
90,BDJ In Practice,s41404,"['s41404', '021', '0925', 'y']",https://www.nature.com/articles/s41407-021-0730-9
91,BDJ In Practice,s41404,"['s41404', '021', '0925', 'y']",https://www.nature.com/articles/s41407-021-0726-5
92,BDJ In Practice,s41404,"['s41404', '021', '0929', '7']",https://www.nature.com/articles/s41407-021-0713-x
93,BDJ In Practice,s41404,"['s41404', '021', '0929', '7']",https://www.nature.com/articles/s41407-021-0729-2
94,BDJ In Practice,s41404,"['s41404', '021', '0930', '1']",https://www.nature.com/articles/s41407-021-0720-y
95,BDJ In Practice,s41404,"['s41404', '021', '0930', '1']",https://www.nature.com/articles/s41407-021-0724-7
96,BDJ In Practice,s41404,"['s41404', '021', '0926', 'x']",https://www.nature.com/articles/s41407-021-0727-4
97,BDJ In Practice,s41404,"['s41404', '021', '0926', 'x']",https://www.nature.com/articles/s41407-021-0721-x
98,BDJ In Practice,s41404,"['s41404', '021', '0917', 'y']",https://www.nature.com/articles/s41407-021-0718-5
99,BDJ In Practice,s41404,"['s41404', '021', '0917', 'y']",https://www.nature.com/articles/s41407-021-0706-9
100,BDJ In Practice,s41404,"['s41404', '021', '0924', 'z']",https://www.nature.com/articles/d43747-021-00146-3
101,BDJ In Practice,s41404,"['s41404', '021', '0924', 'z']",https://www.nature.com/articles/d43747-021-00145-4
102,BDJ In Practice,s41404,"['s41404', '021', '0910', '5']",https://www.nature.com/articles/d43747-021-00110-1
103,BDJ In Practice,s41404,"['s41404', '021', '0910', '5']",https://www.nature.com/articles/d43747-021-00107-w
104,BDJ In Practice,s41404,"['s41404', '021', '0913', '2']",https://www.nature.com/articles/d43747-021-00124-9
105,BDJ In Practice,s41404,"['s41404', '021', '0913', '2']",https://www.nature.com/articles/d43747-021-00115-w
106,BDJ In Practice,s41404,"['s41404', '021', '0919', '9']",https://www.nature.com/articles/d43747-021-00122-x
107,BDJ In Practice,s41404,"['s41404', '021', '0919', '9']",https://www.nature.com/articles/d43747-021-00127-6
108,BDJ In Practice,s41404,"['s41404', '021', '0918', 'x']",https://www.nature.com/articles/d43747-021-00134-7
109,BDJ In Practice,s41404,"['s41404', '021', '0918', 'x']",https://www.nature.com/articles/d43747-021-00141-8
110,BDJ In Practice,s41404,"['s41404', '021', '0920', '3']",https://www.nature.com/articles/d43747-021-00113-y
111,BDJ In Practice,s41404,"['s41404', '021', '0920', '3']",https://www.nature.com/articles/d43747-021-00137-4
112,BDJ In Practice,s41404,"['s41404', '021', '0923', '0']",https://www.nature.com/articles/d43747-021-00120-z
113,BDJ In Practice,s41404,"['s41404', '021', '0923', '0']",https://www.nature.com/articles/d43747-021-00111-0
114,BDJ In Practice,s41404,"['s41404', '021', '0914', '1']",https://www.nature.com/articles/d43747-021-00125-8
115,BDJ In Practice,s41404,"['s41404', '021', '0914', '1']",https://www.nature.com/articles/d43747-021-00132-9
116,BDJ In Practice,s41404,"['s41404', '021', '0921', '2']",https://www.nature.com/articles/d43747-021-00123-w
117,BDJ In Practice,s41404,"['s41404', '021', '0921', '2']",https://www.nature.com/articles/d43747-021-00128-5
118,BDJ In Practice,s41404,"['s41404', '021', '0927', '9']",https://www.nature.com/articles/d43747-021-00130-x
119,BDJ In Practice,s41404,"['s41404', '021', '0927', '9']",https://www.nature.com/articles/d43747-021-00116-9
120,BDJ In Practice,s41404,"['s41404', '021', '0905', '2']",https://www.nature.com/articles/s41408-021-00554-9
121,BDJ In Practice,s41404,"['s41404', '021', '0905', '2']",https://www.nature.com/articles/s41408-021-00559-4
122,BDJ In Practice,s41404,"['s41404', '021', '0912', '3']",https://www.nature.com/articles/s41408-021-00558-5
