,ALL NAME,SHORT NAME,KEY NUMBER,ALL LINK
0,Acta Pharmacologica Sinica,articles/s41401-021-00772-8,s41401,"['s41401', '021', '00772', '8']"
1,Acta Pharmacologica Sinica,articles/s41401-021-00778-2,s41401,"['s41401', '021', '00778', '2']"
2,Acta Pharmacologica Sinica,articles/s41401-021-00745-x,s41401,"['s41401', '021', '00745', 'x']"
3,Acta Pharmacologica Sinica,articles/s41401-021-00770-w,s41401,"['s41401', '021', '00770', 'w']"
4,Acta Pharmacologica Sinica,articles/s41401-021-00776-4,s41401,"['s41401', '021', '00776', '4']"
5,Acta Pharmacologica Sinica,articles/s41401-021-00774-6,s41401,"['s41401', '021', '00774', '6']"
6,Acta Pharmacologica Sinica,articles/s41401-021-00766-6,s41401,"['s41401', '021', '00766', '6']"
7,Acta Pharmacologica Sinica,articles/s41401-021-00773-7,s41401,"['s41401', '021', '00773', '7']"
8,Acta Pharmacologica Sinica,articles/s41401-021-00769-3,s41401,"['s41401', '021', '00769', '3']"
9,Acta Pharmacologica Sinica,articles/s41401-021-00768-4,s41401,"['s41401', '021', '00768', '4']"
10,Acta Pharmacologica Sinica,articles/s41401-021-00777-3,s41401,"['s41401', '021', '00777', '3']"
11,Acta Pharmacologica Sinica,articles/s41401-021-00755-9,s41401,"['s41401', '021', '00755', '9']"
12,Acta Pharmacologica Sinica,articles/s41401-021-00760-y,s41401,"['s41401', '021', '00760', 'y']"
13,Acta Pharmacologica Sinica,articles/s41401-021-00763-9,s41401,"['s41401', '021', '00763', '9']"
14,Acta Pharmacologica Sinica,articles/s41401-021-00765-7,s41401,"['s41401', '021', '00765', '7']"
15,Acta Pharmacologica Sinica,articles/s41401-021-00731-3,s41401,"['s41401', '021', '00731', '3']"
16,Acta Pharmacologica Sinica,articles/s41401-021-00771-9,s41401,"['s41401', '021', '00771', '9']"
17,Acta Pharmacologica Sinica,articles/s41401-021-00730-4,s41401,"['s41401', '021', '00730', '4']"
18,Acta Pharmacologica Sinica,articles/s41401-021-00767-5,s41401,"['s41401', '021', '00767', '5']"
19,Acta Pharmacologica Sinica,articles/s41401-021-00761-x,s41401,"['s41401', '021', '00761', 'x']"
20,BDJ In Practice,articles/s41404-021-0931-0,s41404,"['s41404', '021', '0931', '0']"
21,BDJ In Practice,articles/s41404-021-0922-1,s41404,"['s41404', '021', '0922', '1']"
22,BDJ In Practice,articles/s41404-021-0928-8,s41404,"['s41404', '021', '0928', '8']"
